Univ_Code_Key,Univ_Abr_Code,Univ_name,Univ_name2,Univ_Institution_Type,Univ_Member_Since,Univ_Member_Until,Univ_Dept,Univ_Street,Univ_House_Number,Univ_City,Univ_PO_Box,Univ_PO_Zip,Univ_State,Univ_Zip,Univ_Country,Univ_Active,SSMA_TimeStamp,Univ_TimeZone,Univ_Member_Type,Univ_Degree,Univ_Status,Univ_GeoCode,Univ_URL,Univ_Modified
35,PSU,Penn State,,01,1999,,,Old Main,201,University Park,,,PA,16802,US,,000000000001F42C,EST,03,05,01,,http://www.smeal.psu.edu,11/5/2010
36,TMPL,Temple University,,01,1999,,Fox School of Business,Speakman Hall,108,Philadelphia,,,PA,19122,US,-1,000000000001F43C,EST,01,05,01,,http://www.sbm.temple.edu,11/5/2010
37,UH,University of Houston,,01,2002,,Decision and Information Science,"Calhoun, 334 Melcher Hall, Suite 280",4800,Houston,,,TX,77204,US,-1,000000000001F449,CST,01,05,01,,http://www.bauer.uh.edu,11/5/2010
38,UMDR,University of Michigan-Dearborn,,01,1999,,Industrial and Manufacturing Systems Engineering,Evergreen Road,4901,Dearborn,,,MI,48128,US,-1,000000000001F44C,EST,01,05,01,,http://www.bus.umich.edu,11/5/2010
39,MISS,University of Missouri-Columbia,,01,1999,,College of Business,Cornell Hall,407,Columbia,,,MO,65211,US,-1,000000000001F44E,CST,01,05,01,,http://www.business.missouri.edu,11/5/2010
40,UND,University of North Dakota,,01,2020,,College of Business and Public Administration,"Centennial Drive, Stop 8363",293,Grand Forks,,,ND,58202,US,0,000000000001F452,CST,01,04,03,,,11/5/2010
41,AKR,University of Akron,,01,20140701,,College of Business Administration,S. Broadway Avenue,259,Akron,,,OH,44325,US,-1,000000000004FDD7,EST,01,05,01,,http://www.uakron.edu/cba,5/21/2014
42,VILL,Villanova University,,01,1998,,Villanova School of Business,Lancaster Ave,800,Villlanova,,,PA,19085,US,-1,000000000001F45D,EST,01,05,01,,http://www.villanova.edu/business,11/5/2010
43,WMU,Western Michigan University,,01,2002,,Department of Management,"Schneider Hall, Haworth College of Business",3386,Kalamazoo,,,MI,49008,US,-1,000000000001F460,EST,01,05,01,,http://www.wmich.edu/business,11/5/2010
44,YSU,Youngstown State University,,01,2003,,Williamson College of Business,University Plaza,One,Youngstown,,,OH,44555,US,-1,000000000001F464,EST,01,05,01,,http://www.ysu.edu/wcba,11/5/2010
